copy_key,comp_id,resolution,method,n_centres,n_differing,differing_abs_volumes,min_abs_volume_all,labels,error
5W40:C:501,IHP,2.53,X-RAY DIFFRACTION,6.0,5.0,"[2.3, 2.28, 2.05, 2.361, 2.193]",2.050088990420779,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
5W40:D:501,IHP,2.53,X-RAY DIFFRACTION,6.0,5.0,"[2.357, 2.182, 2.172, 2.308, 1.992]",1.9919214605842797,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7K36:I:901,IHP,3.3,ELECTRON MICROSCOPY,6.0,5.0,"[2.154, 2.26, 2.168, 2.101, 2.112]",2.100520090790969,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8QOZ:A:2401,IHP,3.1,ELECTRON MICROSCOPY,6.0,5.0,"[2.374, 2.467, 2.439, 2.425, 2.346]",2.3460108089145564,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9B84:A:1301,IHP,3.2,ELECTRON MICROSCOPY,6.0,3.0,"[2.358, 2.342, 2.517]",2.3424943547190935,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
9B84:B:1301,IHP,3.2,ELECTRON MICROSCOPY,6.0,3.0,"[2.445, 2.411, 2.117]",2.1174484665505346,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
3C6P:B:1000,IHP,2.7,X-RAY DIFFRACTION,6.0,5.0,"[2.012, 2.182, 1.61, 1.389, 1.48]",1.0223415064601156,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
7KFN:A:801,IHP,2.5,X-RAY DIFFRACTION,6.0,3.0,"[2.608, 2.711, 2.394]",2.186019175537896,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7KFN:D:801,IHP,2.5,X-RAY DIFFRACTION,6.0,3.0,"[2.646, 2.67, 2.397]",2.2261292483197277,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7SGL:B:701,IHP,3.0,ELECTRON MICROSCOPY,6.0,3.0,"[2.466, 2.501, 2.594]",2.4656496586949856,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
8CVS:c:1901,IHP,3.1,ELECTRON MICROSCOPY,6.0,5.0,"[2.212, 2.241, 2.226, 1.821, 2.163]",1.8214855593437829,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8CVS:c:1902,IHP,3.1,ELECTRON MICROSCOPY,6.0,5.0,"[2.23, 2.2, 2.534, 2.3, 2.418]",2.200387324994054,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
8QP8:A:2401,IHP,3.5,ELECTRON MICROSCOPY,6.0,5.0,"[2.482, 2.389, 2.467, 2.358, 2.465]",2.357896202126568,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
9R3D:A:2401,IHP,3.12,ELECTRON MICROSCOPY,6.0,5.0,"[2.384, 2.342, 2.48, 2.412, 2.493]",2.341517211542147,"[[""S"", ""s""], [""s"", ""s""], [""R"", ""s""], [""S"", ""s""], [""r"", ""s""], [""R"", ""s""]]",
1FHW:A:1001,I5P,1.9,X-RAY DIFFRACTION,6.0,4.0,"[2.476, 2.506, 2.521, 2.481]",2.412729490171208,"[[""R"", ""r""], [""S"", ""R""], [""R"", ""S""], [""S"", ""r""], [""R"", ""R""], [""S"", ""S""]]",
6Z3R:A:3702,IHP,2.97,ELECTRON MICROSCOPY,6.0,3.0,"[2.454, 2.486, 0.682]",0.5399781305581897,"[[""S"", ""R""], [""s"", ""s""], [""R"", ""S""], [""S"", ""S""], [""r"", ""s""], [""R"", ""R""]]",
7KIR:A:501,2IP,2.6,X-RAY DIFFRACTION,6.0,1.0,[2.367],2.293183346095775,"[[""R"", ""R""], [""S"", ""S""], [""R"", ""R""], [""R"", ""R""], [""R"", ""R""], [""S"", ""R""]]",
